species	n_pairs	n_ge99	pct_ge99
Acetobacter papayae	30	30	100.00
Acetobacter syzygii	15252	15252	100.00
Brochothrix thermosphacta	30	30	100.00
Caulobacter sp002742645	30	30	100.00
Chryseobacterium mucoviscidosis	12	12	100.00
Agrobacterium sp900013535	30	30	100.00
Acinetobacter oleivorans	6	6	100.00
Zymomonas mobilis	9506	9506	100.00
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__	20	20	100.00
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__	4	4	100.00
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Sporolactobacillaceae;g__Sporolactobacillus;s__	992	992	100.00
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lentilactobacillus;s__	192	192	100.00
Comamonas testosteroni_B	30	30	100.00
Enterococcus faecalis	110	110	100.00
Flavobacterium frigidarium	30	30	100.00
Clostridium_B tyrobutyricum	12	12	100.00
Comamonas acidovorans	12	12	100.00
Bifidobacterium psychraerophilum	380	380	100.00
Bifidobacterium aquikefiri	6006	6006	100.00
Brevundimonas mediterranea	30	30	100.00
Komagataeibacter hansenii	1332	1332	100.00
Klebsiella_A grimontii	342	342	100.00
Hafnia paralvei	90	90	100.00
Lentilactobacillus hilgardii	49952	49952	100.00
Lentilactobacillus kefiri	36864	36864	100.00
Lentilactobacillus parakefiri	6	6	100.00
Leuconostoc citreum	240	240	100.00
Leuconostoc gelidum	12	12	100.00
Macrococcus_B caseolyticus	56	56	100.00
Massilibacillus massiliensis	12	12	100.00
Liquorilactobacillus nagelii	56	56	100.00
Methylobacterium aquaticum	20	20	100.00
Liquorilactobacillus satsumensis	41412	41412	100.00
Lactococcus raffinolactis	930	930	100.00
Lactobacillus kefiranofaciens	21609	21609	100.00
Lactobacillus helveticus	5767	5767	100.00
Oenococcus oeni	306	306	100.00
Microbacterium sp000411455	12	12	100.00
Microbacterium hominis	56	56	100.00
Streptococcus parauberis	132	132	100.00
Pseudomonas_E sp001320045	12	12	100.00
Pseudomonas_E sp003852405	12	12	100.00
Pseudomonas_E rhodesiae	56	56	100.00
Sphingomonas sp002292295	12	12	100.00
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__	700	700	100.00
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter;s__	12	12	100.00
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__	90	90	100.00
